gender,race/ethnicity,parental level of education,test preparation course,math score,reading score,writing score,current_score,study_hours_per_week,attendance_rate,participation_level,homework_completion,extracurricular_activities,sleep_hours_per_night,internet_access,previous_grade
male,group A,some high school,none,39,39,34,37.33,9.6,90.2,low,sometimes,yes,5.4,yes,D
male,group A,associate's degree,none,62,61,55,59.33,10.8,81.3,high,often,no,6.1,yes,F
female,group C,associate's degree,none,69,80,71,73.33,16.8,87.7,high,always,no,7.5,yes,B
female,group D,some high school,none,59,58,59,58.67,14.3,96.9,low,rarely,yes,6.6,no,C
male,group B,some high school,none,67,64,61,64.0,10.9,89.0,high,often,no,6.9,yes,C
male,group D,some high school,none,45,37,37,39.67,2.5,90.5,medium,sometimes,no,6.1,yes,F
female,group C,some college,none,60,72,74,68.67,13.5,87.8,medium,rarely,no,7.2,yes,C
male,group B,associate's degree,none,61,58,56,58.33,11.2,86.6,low,sometimes,no,6.5,yes,F
female,group C,associate's degree,none,39,64,57,53.33,6.4,89.0,high,rarely,yes,5.1,yes,D
female,group D,some college,completed,58,63,73,64.67,12.0,85.8,low,rarely,yes,7.2,yes,C
male,group D,some college,completed,63,55,63,60.33,14.0,87.1,medium,often,yes,7.2,no,D
female,group A,associate's degree,none,41,51,48,46.67,3.2,94.1,low,rarely,no,7.0,yes,D
male,group C,some high school,none,61,57,56,58.0,11.3,84.1,low,rarely,yes,5.3,yes,D
male,group C,some high school,none,49,49,41,46.33,3.5,82.4,medium,rarely,no,5.3,yes,C
male,group B,associate's degree,none,44,41,38,41.0,3.4,79.2,low,rarely,yes,5.9,yes,D
male,group E,some high school,none,30,26,22,26.0,6.0,82.5,low,sometimes,no,5.2,no,F
male,group A,bachelor's degree,completed,80,78,81,79.67,10.6,92.1,high,always,yes,7.4,yes,B
female,group D,some high school,completed,61,74,72,69.0,11.2,90.4,medium,often,yes,6.5,yes,D
female,group E,master's degree,none,62,68,68,66.0,10.1,92.6,low,sometimes,no,6.5,yes,C
female,group B,associate's degree,none,47,49,50,48.67,2.2,82.7,low,rarely,yes,6.8,yes,D
male,group B,high school,none,49,45,45,46.33,8.3,85.4,low,rarely,no,6.5,yes,C
male,group A,some college,completed,50,47,54,50.33,4.3,84.0,medium,rarely,yes,7.0,yes,C
male,group E,associate's degree,none,72,64,63,66.33,6.0,85.2,medium,rarely,yes,6.6,yes,D
male,group D,high school,none,42,39,34,38.33,2.6,83.3,low,sometimes,yes,5.8,no,F
female,group C,some college,none,73,80,82,78.33,18.2,91.3,low,always,no,8.1,yes,B
female,group C,some college,none,76,83,88,82.33,17.7,91.2,high,often,yes,7.5,yes,A
female,group D,associate's degree,none,71,71,74,72.0,12.9,95.6,low,often,no,6.1,yes,A
female,group A,some college,none,58,70,67,65.0,5.6,100.0,medium,often,yes,7.4,yes,C
female,group D,some high school,none,73,86,82,80.33,14.7,95.0,high,always,no,8.9,yes,B
female,group C,bachelor's degree,none,65,72,74,70.33,19.4,87.1,low,always,no,7.7,yes,B
male,group C,high school,none,27,34,36,32.33,3.6,74.1,low,sometimes,no,6.0,yes,F
male,group C,high school,none,71,79,71,73.67,13.9,100.0,medium,often,no,6.6,yes,B
male,group C,associate's degree,completed,43,45,50,46.0,3.9,93.3,low,rarely,no,6.2,yes,F
female,group B,some college,none,79,86,92,85.67,27.6,95.3,medium,always,yes,8.1,no,B
male,group C,associate's degree,completed,78,81,82,80.33,11.5,93.0,high,always,yes,8.1,yes,B
male,group B,some high school,completed,65,66,62,64.33,8.4,97.9,low,often,yes,6.8,yes,B
female,group E,some college,completed,63,72,70,68.33,7.3,97.2,high,sometimes,no,7.1,yes,C
female,group D,some college,none,58,67,62,62.33,6.8,98.9,medium,sometimes,no,7.9,yes,C
female,group D,bachelor's degree,none,65,67,62,64.67,10.1,93.8,low,often,no,7.1,yes,D
male,group B,some college,none,79,67,67,71.0,17.1,86.7,medium,always,no,7.5,no,C
male,group D,bachelor's degree,completed,68,74,74,72.0,14.5,86.3,high,always,yes,7.8,no,B
female,group D,associate's degree,none,85,91,89,88.33,26.8,97.4,medium,always,no,7.0,yes,A
male,group B,high school,completed,60,44,47,50.33,6.3,95.2,low,rarely,no,5.9,yes,D
male,group C,some college,completed,98,86,90,91.33,17.8,94.0,high,always,no,7.7,yes,A
female,group C,some college,none,58,67,72,65.67,5.1,95.2,low,often,yes,6.8,yes,D
female,group D,master's degree,none,87,100,100,95.67,25.0,100.0,medium,always,yes,8.8,yes,A
male,group E,associate's degree,completed,66,63,64,64.33,5.4,90.9,medium,rarely,no,6.9,yes,C
female,group B,associate's degree,none,52,76,70,66.0,9.0,93.2,low,rarely,no,7.9,yes,C
female,group B,some high school,none,70,64,72,68.67,11.4,91.1,low,rarely,no,7.3,yes,C
female,group D,associate's degree,completed,77,89,98,88.0,19.6,100.0,medium,often,no,7.4,yes,A
male,group C,high school,none,62,55,49,55.33,6.0,83.3,medium,often,no,5.8,yes,C
male,group A,associate's degree,none,54,53,47,51.33,4.3,95.0,low,rarely,yes,5.1,yes,D
female,group D,some college,none,51,58,54,54.33,5.4,96.0,high,rarely,yes,5.8,yes,C
female,group E,bachelor's degree,completed,99,100,100,99.67,27.5,100.0,high,always,yes,8.9,yes,A
male,group C,high school,none,84,77,74,78.33,18.7,95.9,high,always,yes,7.0,yes,B
female,group B,bachelor's degree,none,75,85,82,80.67,16.3,92.0,medium,always,no,8.1,yes,A
female,group D,bachelor's degree,none,78,82,79,79.67,10.2,100.0,low,often,yes,8.1,yes,C
female,group D,some high school,none,51,63,61,58.33,7.1,79.7,low,often,no,6.2,yes,D
female,group C,some college,none,55,69,65,63.0,6.8,99.3,medium,sometimes,no,6.1,yes,C
female,group C,bachelor's degree,completed,79,92,89,86.67,16.7,100.0,high,always,yes,7.7,yes,A
male,group B,associate's degree,completed,91,89,92,90.67,26.3,99.7,high,always,no,7.4,yes,A
female,group C,some college,completed,88,93,93,91.33,26.9,91.5,high,always,yes,8.5,yes,A
male,group D,high school,none,63,57,56,58.67,12.3,89.5,medium,sometimes,yes,6.6,yes,D
male,group E,some college,none,83,80,73,78.67,12.7,98.0,medium,sometimes,no,7.3,no,B
female,group B,high school,none,87,95,86,89.33,18.7,100.0,high,always,no,8.3,yes,B
male,group B,some high school,none,72,68,67,69.0,7.5,92.8,medium,often,no,6.1,yes,D
male,group D,some college,completed,65,77,74,72.0,11.8,95.4,high,sometimes,no,6.6,no,C
male,group D,master's degree,none,82,82,74,79.33,19.4,95.9,high,always,yes,8.7,yes,B
female,group A,bachelor's degree,none,51,49,51,50.33,3.8,79.2,low,sometimes,yes,6.4,yes,D
male,group D,master's degree,none,89,84,82,85.0,25.8,100.0,high,always,no,8.2,yes,A
male,group C,some high school,completed,53,37,40,43.33,9.0,74.9,medium,rarely,no,6.6,no,D
male,group E,some college,completed,87,74,70,77.0,17.7,93.7,medium,always,no,9.0,yes,B
female,group C,some college,completed,75,81,84,80.0,14.2,100.0,high,sometimes,yes,7.6,yes,A
male,group D,bachelor's degree,completed,74,79,75,76.0,10.4,85.7,high,often,yes,8.4,yes,C
male,group C,bachelor's degree,none,58,55,48,53.67,8.3,79.7,medium,sometimes,no,5.9,yes,C
male,group B,some high school,completed,51,54,41,48.67,9.9,80.9,medium,sometimes,no,6.0,yes,C
male,group E,high school,none,70,55,56,60.33,7.2,83.8,medium,sometimes,yes,7.9,no,D
female,group C,associate's degree,none,59,66,67,64.0,14.9,84.8,low,often,no,6.3,no,C
male,group D,some college,completed,71,61,69,67.0,7.2,93.1,medium,sometimes,yes,7.8,yes,B
female,group D,some high school,none,76,72,71,73.0,18.9,100.0,high,always,no,7.1,yes,B
female,group C,some college,none,59,62,64,61.67,8.7,85.8,medium,sometimes,yes,6.4,yes,B
female,group E,some college,completed,42,55,54,50.33,8.8,86.7,medium,rarely,no,5.7,yes,D
male,group A,high school,none,57,43,47,49.0,4.1,93.9,medium,sometimes,no,6.7,yes,F
male,group D,some college,none,88,73,78,79.67,17.0,100.0,medium,always,yes,8.8,no,A
female,group C,some college,none,22,39,33,31.33,8.6,73.0,low,sometimes,yes,6.6,no,D
male,group B,some high school,none,88,84,75,82.33,10.1,93.2,high,always,yes,7.5,yes,A
male,group C,associate's degree,none,73,68,66,69.0,12.8,85.1,high,sometimes,no,6.7,yes,D
female,group D,bachelor's degree,completed,68,75,81,74.67,11.0,100.0,medium,sometimes,yes,7.4,yes,B
male,group E,associate's degree,completed,100,100,93,97.67,21.9,100.0,medium,always,no,8.9,yes,A
male,group A,some high school,completed,62,67,69,66.0,12.6,82.5,low,sometimes,no,7.5,yes,C
male,group A,bachelor's degree,none,77,67,68,70.67,12.7,100.0,medium,often,yes,7.6,yes,B
female,group B,associate's degree,completed,59,70,66,65.0,5.8,95.3,medium,sometimes,no,6.3,yes,D
male,group D,bachelor's degree,none,54,49,47,50.0,5.4,89.4,low,rarely,no,5.8,no,C
male,group D,some high school,none,62,67,61,63.33,7.1,81.7,medium,sometimes,no,6.9,no,B
female,group C,some college,completed,70,89,88,82.33,18.7,100.0,high,always,no,8.3,yes,A
female,group E,high school,completed,66,74,78,72.67,19.2,96.6,high,often,yes,6.3,yes,B
male,group B,some college,none,60,60,60,60.0,7.0,89.8,low,sometimes,yes,7.6,yes,C
female,group B,associate's degree,completed,61,86,87,78.0,10.1,87.4,medium,often,yes,7.6,yes,C
male,group D,associate's degree,none,66,62,64,64.0,12.8,82.1,medium,rarely,yes,8.0,yes,C
male,group B,associate's degree,completed,82,78,74,78.0,16.2,100.0,medium,sometimes,yes,8.0,yes,B
female,group E,some college,completed,75,88,85,82.67,10.3,89.1,high,sometimes,yes,8.4,no,A
male,group B,master's degree,none,49,53,52,51.33,3.3,79.2,medium,sometimes,yes,6.9,yes,D
male,group C,high school,none,52,53,49,51.33,7.7,94.5,medium,sometimes,yes,6.6,yes,F
female,group E,master's degree,none,81,92,91,88.0,26.0,100.0,high,always,yes,8.5,yes,A
female,group C,bachelor's degree,completed,96,100,100,98.67,19.9,96.1,high,always,no,7.7,yes,B
male,group C,high school,completed,53,51,51,51.67,7.3,87.2,medium,sometimes,yes,7.0,no,D
female,group B,master's degree,completed,58,76,78,70.67,12.0,97.2,low,sometimes,yes,6.9,no,B
female,group B,high school,completed,68,83,78,76.33,17.4,94.0,medium,often,no,7.1,no,B
female,group C,some college,completed,67,75,70,70.67,14.4,98.1,medium,always,no,6.8,yes,B
male,group A,high school,completed,72,73,74,73.0,19.1,88.5,medium,always,no,6.3,yes,C
male,group E,some high school,none,94,88,78,86.67,18.6,93.6,high,often,no,8.0,yes,B
female,group D,some college,none,79,86,81,82.0,14.5,97.6,high,often,yes,7.8,no,A
female,group C,associate's degree,none,63,67,70,66.67,11.6,88.7,high,rarely,no,6.9,yes,B
female,group C,bachelor's degree,completed,43,51,54,49.33,3.4,86.8,low,sometimes,no,5.5,yes,D
female,group C,master's degree,completed,81,91,87,86.33,18.3,92.1,medium,always,yes,7.9,no,B
female,group B,high school,completed,46,54,58,52.67,6.7,94.9,low,rarely,yes,5.1,yes,F
female,group C,associate's degree,completed,71,77,77,75.0,10.4,87.4,medium,always,yes,8.0,yes,A
female,group B,master's degree,completed,52,70,62,61.33,14.9,99.7,low,often,no,7.7,yes,C
female,group D,some high school,completed,97,100,100,99.0,24.8,100.0,medium,often,yes,8.4,yes,A
male,group C,master's degree,completed,62,68,75,68.33,14.7,84.7,medium,sometimes,no,6.4,yes,D
female,group C,some college,none,46,64,66,58.67,14.4,93.2,medium,sometimes,no,6.1,yes,F
female,group E,high school,none,50,50,47,49.0,7.5,89.9,low,sometimes,yes,6.3,yes,D
female,group D,associate's degree,none,65,69,70,68.0,15.0,83.6,high,sometimes,no,7.6,yes,C
male,group C,some high school,completed,45,52,49,48.67,9.0,84.3,low,sometimes,no,6.5,yes,D
male,group C,associate's degree,completed,65,67,65,65.67,13.2,84.3,medium,rarely,yes,6.7,yes,C
male,group E,high school,none,80,76,65,73.67,13.9,93.5,medium,often,yes,6.1,yes,B
male,group D,some high school,completed,62,66,68,65.33,11.2,91.0,medium,often,no,7.0,yes,C
male,group B,some high school,none,48,52,45,48.33,5.0,84.1,low,rarely,no,6.5,no,D
female,group C,bachelor's degree,none,77,88,87,84.0,19.6,88.4,medium,sometimes,yes,8.8,yes,B
female,group E,associate's degree,none,66,65,69,66.67,5.6,100.0,medium,rarely,no,6.5,yes,C
male,group D,some college,completed,76,83,79,79.33,18.0,97.2,medium,always,no,7.5,yes,A
female,group B,some high school,none,62,64,66,64.0,6.8,95.0,low,sometimes,no,6.2,yes,C
male,group D,some college,completed,77,62,62,67.0,14.6,92.0,high,sometimes,yes,7.3,no,C
female,group C,master's degree,completed,69,84,85,79.33,18.2,100.0,medium,often,yes,7.8,no,C
male,group D,associate's degree,none,61,55,52,56.0,8.5,83.4,medium,sometimes,no,5.8,yes,C
male,group C,some high school,completed,59,69,65,64.33,11.2,90.5,medium,rarely,no,7.7,yes,B
male,group E,high school,none,55,56,51,54.0,2.2,90.8,medium,rarely,yes,5.8,yes,D
female,group B,some college,none,45,53,55,51.0,9.9,79.7,medium,rarely,no,6.4,yes,F
female,group B,bachelor's degree,none,78,79,76,77.67,11.3,88.0,high,often,yes,7.2,yes,C
female,group C,associate's degree,completed,67,84,86,79.0,11.9,92.8,medium,often,yes,8.0,yes,C
female,group D,some college,none,65,81,77,74.33,12.3,95.6,high,always,no,6.6,yes,B
male,group C,associate's degree,none,69,77,69,71.67,19.9,97.1,medium,always,no,6.1,yes,C
female,group B,associate's degree,none,57,69,68,64.67,6.8,95.4,low,sometimes,yes,6.9,yes,C
male,group C,some college,none,59,41,42,47.33,7.3,91.7,medium,rarely,yes,5.3,no,F
male,group D,some high school,completed,74,71,78,74.33,15.4,100.0,medium,always,yes,7.5,yes,C
male,group E,bachelor's degree,none,82,62,62,68.67,12.8,97.1,low,sometimes,yes,6.7,yes,D
male,group E,high school,completed,81,80,76,79.0,15.5,92.4,medium,often,yes,8.0,no,B
female,group B,some college,none,74,81,76,77.0,19.9,100.0,medium,always,yes,8.6,yes,C
female,group B,some college,none,58,61,66,61.67,13.7,96.7,medium,sometimes,yes,6.8,yes,C
male,group D,some high school,completed,80,79,79,79.33,13.5,100.0,medium,always,yes,8.7,no,B
male,group C,some college,none,35,28,27,30.0,6.9,85.3,low,rarely,yes,5.3,yes,C
female,group C,high school,none,42,62,60,54.67,2.2,80.9,high,rarely,no,5.9,yes,D
male,group C,associate's degree,completed,60,51,56,55.67,9.4,80.7,medium,sometimes,no,6.3,yes,C
male,group E,high school,completed,87,91,81,86.33,30.6,98.0,medium,always,yes,8.4,no,A
male,group B,some high school,completed,84,83,75,80.67,11.4,89.3,high,sometimes,yes,7.1,yes,B
female,group E,associate's degree,completed,83,86,88,85.67,31.3,100.0,high,always,yes,7.9,yes,B
female,group C,high school,none,34,42,39,38.33,5.6,76.7,low,rarely,no,6.5,yes,C
male,group B,high school,none,66,77,70,71.0,14.2,93.3,low,often,no,6.3,yes,B
male,group B,some high school,completed,61,56,56,57.67,5.1,84.0,high,often,no,6.0,yes,D
female,group D,high school,completed,56,68,74,66.0,9.5,98.9,low,sometimes,yes,6.6,yes,C
male,group B,associate's degree,none,87,85,73,81.67,13.8,95.1,high,always,no,8.9,yes,A
female,group C,some high school,none,55,65,62,60.67,11.9,89.0,low,often,yes,7.8,yes,C
male,group D,some high school,none,86,80,75,80.33,16.6,100.0,high,always,yes,8.0,yes,B
female,group B,associate's degree,completed,52,66,73,63.67,10.1,94.8,low,rarely,no,6.1,yes,B
female,group E,master's degree,none,45,56,54,51.67,9.7,92.0,low,rarely,yes,6.5,yes,C
female,group C,some college,none,72,72,71,71.67,11.7,85.9,medium,always,yes,6.0,yes,C
male,group D,high school,none,57,50,54,53.67,4.4,93.3,medium,rarely,yes,5.2,yes,D
male,group A,some high school,none,68,72,64,68.0,11.4,93.3,low,often,no,6.6,no,C
female,group C,some college,completed,88,95,94,92.33,26.6,100.0,high,always,yes,7.7,no,A
male,group D,some college,none,76,64,66,68.67,8.7,91.5,medium,sometimes,no,6.5,yes,B
male,group C,associate's degree,none,46,43,42,43.67,9.1,87.5,low,sometimes,no,6.7,no,C
female,group B,bachelor's degree,none,67,86,83,78.67,17.6,95.4,high,always,no,8.3,yes,B
male,group E,some high school,none,92,87,78,85.67,34.7,100.0,medium,often,yes,8.5,no,A
male,group C,bachelor's degree,completed,83,82,84,83.0,15.1,100.0,high,often,yes,8.0,yes,A
male,group D,associate's degree,none,80,75,77,77.33,16.9,100.0,medium,always,yes,7.9,yes,B
male,group D,bachelor's degree,none,63,66,67,65.33,12.3,100.0,low,sometimes,no,6.4,yes,C
female,group D,some high school,completed,64,60,74,66.0,11.2,85.8,medium,often,no,6.0,yes,B
male,group B,some college,none,54,52,51,52.33,8.0,81.5,high,rarely,yes,5.3,yes,F
male,group C,associate's degree,none,84,80,80,81.33,20.0,94.5,high,always,no,8.2,yes,A
male,group D,high school,completed,73,68,66,69.0,12.0,83.1,medium,sometimes,no,6.2,yes,C
female,group E,bachelor's degree,none,80,83,83,82.0,16.4,88.6,high,often,yes,8.2,yes,B
female,group D,high school,none,56,52,55,54.33,4.2,94.6,medium,rarely,yes,5.7,yes,D
male,group E,some college,none,59,51,43,51.0,8.3,87.3,medium,rarely,yes,5.9,yes,C
male,group D,some high school,none,75,74,69,72.67,16.0,98.9,high,always,no,6.8,yes,B
male,group C,associate's degree,none,85,76,71,77.33,11.2,94.0,high,often,yes,8.2,yes,B
male,group E,associate's degree,none,89,76,74,79.67,13.3,87.1,low,always,yes,8.0,yes,C
female,group B,high school,completed,58,70,68,65.33,7.6,90.4,high,often,yes,7.6,yes,C
female,group B,high school,none,65,64,62,63.67,6.3,82.8,medium,sometimes,no,7.5,yes,B
male,group C,high school,none,68,60,53,60.33,11.1,82.8,medium,sometimes,no,6.1,yes,C
male,group A,some high school,completed,47,49,49,48.33,4.1,81.1,medium,rarely,yes,6.5,yes,D
female,group D,some college,none,71,83,83,79.0,10.7,96.1,low,sometimes,no,7.3,yes,B
female,group B,some high school,completed,60,70,70,66.67,8.5,100.0,low,sometimes,no,7.1,no,B
male,group D,master's degree,none,80,80,72,77.33,14.2,91.0,high,always,yes,8.3,yes,B
male,group D,high school,none,54,52,52,52.67,5.7,97.0,medium,rarely,yes,5.3,yes,C
female,group E,some college,none,62,73,70,68.33,13.5,94.0,medium,rarely,no,7.4,yes,C
female,group C,associate's degree,none,64,73,68,68.33,10.4,84.4,medium,sometimes,yes,7.9,no,C
male,group C,associate's degree,completed,78,77,77,77.33,14.6,94.0,medium,often,yes,8.0,no,B
female,group B,some college,none,70,75,78,74.33,10.5,100.0,medium,often,yes,6.7,yes,B
female,group C,master's degree,completed,65,81,81,75.67,12.0,100.0,high,always,yes,7.9,no,B
female,group C,some high school,completed,64,79,77,73.33,10.3,85.7,medium,always,no,7.0,yes,B
male,group C,some college,completed,79,79,78,78.67,18.2,93.8,high,always,yes,8.0,yes,B
female,group C,some high school,none,44,50,51,48.33,6.6,88.8,medium,rarely,no,6.1,yes,D
female,group E,high school,none,99,93,90,94.0,30.9,97.7,high,always,yes,9.0,yes,A
male,group D,high school,none,76,73,68,72.33,11.8,100.0,medium,sometimes,no,7.2,yes,C
male,group D,some high school,none,59,42,41,47.33,8.4,85.9,medium,rarely,no,6.3,yes,C
female,group C,bachelor's degree,none,63,75,81,73.0,18.8,92.9,low,sometimes,no,7.1,yes,C
female,group D,high school,none,69,72,77,72.67,10.8,98.9,low,always,no,7.1,yes,B
female,group D,associate's degree,completed,88,92,95,91.67,24.4,100.0,high,always,yes,8.7,yes,A
female,group E,some college,none,71,76,70,72.33,17.1,100.0,low,often,yes,6.7,yes,B
male,group C,bachelor's degree,none,69,63,61,64.33,11.5,93.9,low,often,no,8.0,yes,B
male,group C,some college,none,58,49,42,49.67,7.4,83.1,low,rarely,yes,6.7,yes,F
female,group D,associate's degree,none,47,53,58,52.67,4.2,90.4,medium,rarely,yes,5.4,yes,D
female,group D,some college,none,65,70,71,68.67,11.5,100.0,high,often,no,7.3,yes,D
male,group B,some college,completed,88,85,76,83.0,16.7,98.9,medium,often,yes,8.7,yes,A
male,group C,bachelor's degree,none,83,78,73,78.0,19.8,88.2,medium,sometimes,no,8.8,yes,C
female,group C,some high school,completed,85,92,93,90.0,20.8,100.0,high,always,yes,8.9,yes,A
female,group E,high school,completed,59,63,75,65.67,13.3,87.5,high,rarely,no,7.1,yes,C
female,group C,some high school,none,65,86,80,77.0,10.1,95.0,medium,often,yes,7.6,yes,A
male,group B,bachelor's degree,none,73,56,57,62.0,14.0,97.7,medium,sometimes,no,6.4,yes,C
male,group D,high school,none,53,52,42,49.0,8.4,77.0,low,sometimes,no,6.0,yes,F
male,group D,high school,none,45,48,46,46.33,6.8,77.7,low,sometimes,no,6.7,no,D
female,group D,bachelor's degree,none,73,79,84,78.67,15.2,94.8,medium,often,no,8.2,no,B
female,group D,some college,completed,70,78,78,75.33,16.1,97.7,medium,always,yes,8.0,yes,B
female,group B,some high school,none,37,46,46,43.0,5.9,87.4,medium,sometimes,no,6.0,yes,C
male,group B,associate's degree,completed,81,82,82,81.67,12.5,94.5,high,sometimes,yes,7.6,no,A
male,group E,associate's degree,completed,97,82,88,89.0,24.6,93.6,high,always,yes,8.0,yes,A
female,group B,some high school,none,67,89,82,79.33,12.2,87.2,low,often,no,8.1,yes,B
male,group B,bachelor's degree,none,88,75,76,79.67,19.3,94.5,low,always,yes,7.7,yes,C
male,group E,some high school,completed,77,76,77,76.67,14.9,99.6,high,sometimes,yes,7.8,yes,B
male,group C,associate's degree,none,76,70,68,71.33,19.1,98.1,medium,often,no,7.9,no,A
male,group D,some high school,none,86,73,70,76.33,16.4,86.5,medium,sometimes,yes,8.4,yes,B
male,group C,some high school,completed,63,60,57,60.0,9.6,87.4,low,sometimes,no,6.1,yes,C
